,A,S,D
"0,0,0",0.0,3.773886304686857e-08,0.0
"4,1,0",-0.003980338279584298,-0.003933293475177215,-0.6766082013389922
"5,1,0",-0.001463618919196468,-0.8098733503090534,-0.739811881413708
"6,1,0",-0.001079330431333833,-0.9704339949551011,-0.9801040482401091
"6,1,1",-0.011470308429886552,-0.9414923721121085,-0.9227445632167944
"5,1,1",-0.015550578805920525,-0.8517362102268103,-0.8778488404752143
"4,1,1",-0.003031093224176817,-0.002909621629864223,-0.0028749602527121374
"4,1,2",-0.013917109356931807,-0.014491203956222384,-0.014171650489305705
"5,1,2",-0.021591090832939207,-0.9568091777623994,-0.9886821438697727
"6,1,2",-0.01708599501941698,-0.9046985672576994,-0.895951359272295
"6,1,3",-0.03771930158006068,-0.9999166221127801,-0.9145451186335622
"4,2,0",-0.5361599290593122,-1.272886274280949,-0.9847853155722953
"3,2,0",-0.914851680603309,-1.0267131206594846,-0.04647080503105489
"3,2,1",-0.013504758442126544,-0.012635998137658854,-0.013108221085685868
"4,2,1",-0.019180425481607585,-0.019481663540147444,-0.8888721826755043
"5,2,1",-0.018431274520672898,-0.9381462920776635,-0.018850682243940292
"5,2,2",-0.08719551884717566,-0.8412578325254102,-1.0071250710223503
"4,2,2",-0.07256082610012646,-0.07170809739703468,-0.07185665565843699
"3,2,2",-0.0740016127636055,-0.0736935684385643,-0.07439175283931779
"3,2,3",-1.252148188197883,-0.30870228739882893,-0.30770711670911577
"2,2,3",-0.9962930422133416,-0.9661889580393851,-0.4727510412081802
"1,2,3",-0.9801856801561051,-0.9771286230248861,-0.22460577660027264
"1,2,4",-0.9687865284349101,-0.9900000000527532,-0.2194961704533515
"3,1,2",-0.014732580063552063,-0.9325710500770327,-0.0143300338351733
"2,1,2",-0.019246866292870857,-0.9607837175457666,-0.019324493523279477
"1,1,3",-0.9903200366342245,-1.0087685290642194,-0.07550300269182225
"3,1,1",-0.9516128898680432,-0.9142395447312309,-0.011247484710869286
"3,1,3",-1.0641452933752664,-0.10199937493924556,-0.10588450535083298
"2,1,3",-0.09865743942170699,-1.0592318739363333,-0.09825810306689578
"4,1,4",-1.0794906163451463,-0.8982725913159463,-0.1552888891429418
"5,1,4",-0.06965736364602897,-1.0654170357054011,-0.931042737568648
"5,1,5",-0.3790640417291988,-1.6427743693603434,-1.652990828769834
"6,1,5",-0.07245417876938474,-0.967493176746725,-0.9337858825744667
"5,1,6",0.11936116970553419,0.003772393449775918,-0.006541201399389928
"5,2,0",-0.07828897685377595,-0.9019667288591727,-0.8618423629962977
"2,2,1",-0.8523921980041981,-0.837271733417806,-0.029441718500861032
"2,2,2",-0.9175310026804973,-0.8344307103380724,-0.11544331226230682
"4,2,3",-0.4368367443978321,-0.43274389686194176,-0.43068986683467436
"5,2,3",-0.2772076939540333,-0.27742842178090593,-0.9359549637813674
"6,2,4",-0.9128456269285465,-2.5753224824637817,-1.8961730255546971
